"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white"
"Chattahoochee County, Georgia",3,0.177,2262,17,"Georgia","yes",0.134639696586599,"Trump",0.1586,0.0028,0.0289,0.1988,0.0014,0.5758
"Chattooga County, Georgia",5,0.321,9391,82,"Georgia","no",0.617910447761194,"Trump",0.0515,0.0014,0.0017,0.103,0,0.8277
"Cherokee County, Georgia",3,0.445,127975,383,"Georgia","yes",0.392265994544764,"Trump",0.1052,4e-04,0.018,0.0671,3e-04,0.7872
"Clarke County, Georgia",3,0.42,59245,160,"Georgia","yes",-0.420772796322985,"Biden",0.108,5e-04,0.0387,0.2767,4e-04,0.5502
"Clay County, Georgia",2,0.568,1881,3,"Georgia","no",-0.107317073170732,"Biden",0.0037,0,0.0102,0.6239,0,0.3541
"Clayton County, Georgia",3,0.365,124205,596,"Georgia","yes",-0.709115997507344,"Biden",0.1322,0.0016,0.0512,0.6833,6e-04,0.1007
"Clinch County, Georgia",5,0.366,2782,32,"Georgia","no",0.475707794477455,"Trump",0.0419,3e-04,0,0.2842,0,0.6512
"Cobb County, Georgia",3,0.519,440698,1226,"Georgia","yes",-0.14327403689857,"Biden",0.1298,0.0015,0.0528,0.2672,4e-04,0.5191
"Coffee County, Georgia",3,0.32,16552,198,"Georgia","no",0.398777441829894,"Trump",0.117,4e-04,0.0079,0.2843,0,0.5813
"Colquitt County, Georgia",5,0.36,19224,158,"Georgia","no",0.471652368519209,"Trump",0.1921,0.0044,0.0083,0.2316,1e-04,0.5588
"Columbia County, Georgia",3,0.401,70170,239,"Georgia","yes",0.257908780639156,"Trump",0.067,0.0014,0.0376,0.1659,0,0.6867
"Cook County, Georgia",3,0.356,7098,52,"Georgia","no",0.403837953091684,"Trump",0.0578,0.0029,0.0072,0.2692,0,0.6471
"Coweta County, Georgia",3,0.381,64989,274,"Georgia","yes",0.355356189533718,"Trump",0.0701,0.0024,0.0207,0.1767,2e-04,0.71
"Crawford County, Georgia",3,0.331,4801,29,"Georgia","yes",0.460996394624713,"Trump",0.033,0.001,0.0015,0.2197,0,0.7327
"Crisp County, Georgia",3,0.378,9960,97,"Georgia","no",0.249346445910619,"Trump",0.0344,0,0.0019,0.4554,0.0011,0.4988
"Dade County, Georgia",3,0.288,5412,16,"Georgia","yes",0.646354587032553,"Trump",0.0228,0,0.0107,0.0065,4e-04,0.9333
"Dawson County, Georgia",5,0.346,10237,54,"Georgia","yes",0.678564765872769,"Trump",0.047,9e-04,0.0059,0.0105,0,0.921
"Decatur County, Georgia",5,0.409,12860,87,"Georgia","no",0.169720430107527,"Trump",0.0608,0.0011,0.0025,0.4205,0,0.5021
"DeKalb County, Georgia",3,0.489,421068,1155,"Georgia","yes",-0.673736196749257,"Biden",0.0853,0.0021,0.0604,0.5344,4e-04,0.2913
"Dodge County, Georgia",5,0.304,7491,114,"Georgia","no",0.454838309998761,"Trump",0.0353,1e-04,0.0033,0.2874,0,0.6474
"Dooly County, Georgia",5,0.318,4953,49,"Georgia","no",0.0604141291108404,"Trump",0.0694,4e-04,1e-04,0.4908,0,0.4259
"Dougherty County, Georgia",5,0.413,42115,354,"Georgia","yes",-0.400345736390172,"Biden",0.0286,0.002,0.0096,0.6939,1e-04,0.2523
"Douglas County, Georgia",3,0.401,67192,256,"Georgia","yes",-0.251208288715886,"Biden",0.0966,7e-04,0.0159,0.4593,2e-04,0.4052
"Early County, Georgia",3,0.428,5094,55,"Georgia","no",0.0501156515034695,"Trump",0.0081,0.0029,0.0055,0.522,0,0.4522
"Echols County, Georgia",3,0.264,1260,9,"Georgia","yes",0.755725190839695,"Trump",0.2728,0.0219,0,0.0198,0,0.6631
"Effingham County, Georgia",3,0.327,24528,117,"Georgia","yes",0.49548636406829,"Trump",0.0444,0.0018,0.0088,0.1316,5e-04,0.7828
"Elbert County, Georgia",5,0.375,8173,79,"Georgia","no",0.364954748664268,"Trump",0.057,0,0.0043,0.296,0,0.6351
"Emanuel County, Georgia",5,0.332,9161,91,"Georgia","no",0.385796948974224,"Trump",0.045,0.0024,0.0015,0.3387,0,0.5927
"Evans County, Georgia",3,0.362,4518,40,"Georgia","no",0.368259948198729,"Trump",0.1172,0.0014,0.0091,0.2964,0,0.5626
"Fannin County, Georgia",3,0.367,10680,86,"Georgia","no",0.646440837766853,"Trump",0.0236,0.0011,0.0037,0.0025,0.0011,0.9489
"Fayette County, Georgia",3,0.56,71035,200,"Georgia","yes",0.0679778870461428,"Trump",0.0723,9e-04,0.044,0.2251,0.0013,0.622
"Floyd County, Georgia",5,0.37,42122,284,"Georgia","yes",0.41094796932827,"Trump",0.1107,0.0015,0.0127,0.1387,0,0.7076
"Forsyth County, Georgia",3,0.484,129406,223,"Georgia","yes",0.331874318503453,"Trump",0.095,0.0017,0.1291,0.0332,2e-04,0.717
"Franklin County, Georgia",3,0.319,8610,64,"Georgia","no",0.69447282861124,"Trump",0.0459,8e-04,0.0094,0.0931,0,0.8346
"Fulton County, Georgia",3,0.504,603510,1573,"Georgia","yes",-0.463869303656695,"Biden",0.0722,0.0016,0.0703,0.4361,2e-04,0.3964
"Gilmer County, Georgia",3,0.377,13252,107,"Georgia","no",0.635219364599092,"Trump",0.1158,0.0027,0.0045,0.0041,1e-04,0.8587
"Glascock County, Georgia",3,0.283,1001,19,"Georgia","no",0.796805111821086,"Trump",0.0123,0.003,0,0.1021,3e-04,0.8738
"Glynn County, Georgia",5,0.452,43538,279,"Georgia","yes",0.231851957702201,"Trump",0.0662,0.0035,0.0127,0.2607,0.0012,0.6356
"Gordon County, Georgia",3,0.331,22309,159,"Georgia","no",0.625015603545125,"Trump",0.1584,1e-04,0.0102,0.0374,7e-04,0.7752
"Grady County, Georgia",3,0.376,10883,77,"Georgia","no",0.318950219482582,"Trump",0.1146,0.0051,0.0056,0.2887,0,0.5797
"Greene County, Georgia",3,0.489,9900,65,"Georgia","no",0.264941302027748,"Trump",0.0605,0,0.0114,0.35,2e-04,0.5752
"Gwinnett County, Georgia",3,0.495,517377,1290,"Georgia","yes",-0.182584059339698,"Biden",0.2117,0.0017,0.116,0.2702,2e-04,0.3729
"Habersham County, Georgia",5,0.351,18710,171,"Georgia","no",0.639958886006559,"Trump",0.1479,9e-04,0.0194,0.0319,0.0018,0.7729
"Hall County, Georgia",5,0.398,92550,544,"Georgia","yes",0.432419894628715,"Trump",0.2839,0.0015,0.0178,0.0708,1e-04,0.6082
"Hancock County, Georgia",3,0.432,4100,71,"Georgia","no",-0.438718998314471,"Biden",0.0167,0,0.0036,0.7313,0.0014,0.2431
"Haralson County, Georgia",3,0.292,10046,99,"Georgia","yes",0.739786606766812,"Trump",0.017,7e-04,0.0041,0.0507,0,0.9087
"Harris County, Georgia",3,0.381,15598,71,"Georgia","yes",0.443299484768146,"Trump",0.0356,7e-04,0.0103,0.1609,1e-04,0.7688
