"metro","per_point_diff","T.or.B","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household","label"
"yes",-0.0540198258640835,"Biden",13.035191465,3.643902339,3.9831606526,17.683177618,18.2,102.61570308,3.9279935063,15.433403805,3.3819634223,56,4.068665403,7.2,81.279930141,89071,0.321,0.907,0.838,2.77,"High"
"yes",-0.156683505733301,"Biden",16.22309867,3.7309526184,4.3084013261,17.217160251,21.4,429.4926941,4.6392890552,27.439517942,3.8433208818,55,4.7702844098,19.6,79.090417844,64960,0.224,0.897,0.75,2.38,"High"
"yes",0.29013367281986,"Trump",16.460529958,4.221350771,4.3691309485,22.419888717,25.5,89.526946012,4.3294094253,25.045570543,4.6662567466,52,5.2458448753,16.6,80.832733783,58927,0.235,0.904,0.788,2.42,"Medium"
"no",0.175916444808519,"Trump",16.937111251,4.072730495,4.4972950543,21.707875937,26.3,71.09458314,4.6600163848,15.335463259,4.6505875077,51,5.0972261939,22.3,78.758302215,52215,0.211,0.848,0.796,2.31,"High"
"no",0.0905310300703774,"Trump",18.676973493,4.2381528528,4.5509646229,23.69546927,29.9,201.35665834,4.1128569697,15.722713864,3.8247956573,56,5.5627987831,19.4,77.902720596,51064,0.238,0.887,0.8,2.32,"Medium"
"no",0.296331586469747,"Trump",17.419975259,4.1478829204,4.6657620331,20.81819654,26.1,177.54082927,4.4041450777,20.621279047,4.5813734713,50,5.2202926727,21.8,78.761788755,53167,0.236,0.905,0.782,2.37,"High"
"yes",0.000300696916949283,"Trump",14.194481821,3.5428565248,3.997320131,14.831849246,21.7,124.03918075,4.3418242544,18.456103318,3.7067925309,55,4.9021541715,9.3,80.901138913,105241,0.363,0.906,0.884,2.97,"High"
"no",0.0916673882298612,"Trump",19.774304328,4.5966618187,4.360244151,23.991878712,29.3,261.17121667,4.9102102753,22.655259823,3.9505633918,49,6.1663876063,26.2,78.267982676,58851,0.248,0.867,0.802,2.53,"High"
"yes",0.205917585050311,"Trump",15.359032371,3.9352094582,4.4770761768,21.31714833,25,115.22833404,4.3024430394,18.353997852,4.1477498127,50,4.5626686034,13.8,80.597569481,60699,0.26,0.912,0.833,2.4,"High"
"yes",-0.492467475675085,"Biden",13.450979461,3.5045989427,4.3998154352,16.610546011,14.6,122.75704654,5.5852005782,24.419709515,3.6344482486,54,4.7962648557,14.3,81.00621862,59176,0.535,0.944,0.853,2.25,"High"
