"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household"
"Queens County, New York","2",0.678,1740734,10090,"New York","yes",-0.452330363262509,"Biden",0.2804,0.0023,0.2534,0.1721,4e-04,0.2505,18.585625094,3.7491317977,3.5559406878,14.098319841,27.9,597.78332448,4.880723022,25.597053702,3.4580572004,44,10.058587031,14.4,84.127336734,72975,0.322,0.82,0.835,2.9
"Rensselaer County, New York","2",0.608,103534,154,"New York","yes",-0.0562782556133435,"Biden",0.0493,7e-04,0.0268,0.0598,0,0.8321,14.889810925,3.8118354069,4.4939585258,20.399437954,21.3,304.98581425,4.3945613311,22.895655547,3.7723982291,52,4.2438765474,15.1,79.213566097,70688,0.32,0.919,0.85,2.36
"Richmond County, New York","3",0.567,304314,1898,"New York","yes",0.149537596054646,"Trump",0.1844,0.001,0.0922,0.0936,3e-04,0.6101,16.793000469,3.8552334421,4.2131444964,18.595014438,25.5,597.89466553,5.4440554687,21.548034662,3.861568287,46,5.3072083318,13.9,80.980921851,86624,0.339,0.887,0.817,2.82
"Rockland County, New York","2",0.532,191653,766,"New York","yes",-0.017397202880913,"Biden",0.1771,0.0011,0.0585,0.1131,0,0.6313,16.244030413,3.6303482483,3.8539920681,14.500217236,24,121.34989065,5.2859675206,12.506478184,3.5635834241,54,5.3490895402,21.6,83.210665076,99831,0.411,0.882,0.822,3.17
"St. Lawrence County, New York","3",0.521,59817,111,"New York","no",0.116841472376244,"Trump",0.0236,0.0075,0.0099,0.0223,6e-04,0.9197,19.315186562,4.5137269643,4.5816565624,21.640592714,28.4,145.99568116,4.946238159,21.509537033,5.5250150136,54,5.5104386375,27.1,78.910951624,51742,0.414,0.94,0.893,2.38
"Saratoga County, New York","2",0.688,168246,184,"New York","yes",-0.0540198258640835,"Biden",0.0321,0.0019,0.0291,0.0153,1e-04,0.9035,13.035191465,3.643902339,3.9831606526,17.683177618,18.2,102.61570308,3.9279935063,15.433403805,3.3819634223,56,4.068665403,7.2,81.279930141,89071,0.321,0.907,0.838,2.77
"Schenectady County, New York","2",0.617,102942,213,"New York","yes",-0.156683505733301,"Biden",0.0706,0.0022,0.0443,0.0944,5e-04,0.726,16.22309867,3.7309526184,4.3084013261,17.217160251,21.4,429.4926941,4.6392890552,27.439517942,3.8433208818,55,4.7702844098,19.6,79.090417844,64960,0.224,0.897,0.75,2.38
"Schoharie County, New York","3",0.491,16221,20,"New York","yes",0.29013367281986,"Trump",0.032,0.0015,0.0088,0.0135,2e-04,0.9317,16.460529958,4.221350771,4.3691309485,22.419888717,25.5,89.526946012,4.3294094253,25.045570543,4.6662567466,52,5.2458448753,16.6,80.832733783,58927,0.235,0.904,0.788,2.42
"Schuyler County, New York","3",0.547,10341,16,"New York","no",0.175916444808519,"Trump",0.0186,8e-04,0.007,0.0083,0,0.9496,16.937111251,4.072730495,4.4972950543,21.707875937,26.3,71.09458314,4.6600163848,15.335463259,4.6505875077,51,5.0972261939,22.3,78.758302215,52215,0.211,0.848,0.796,2.31
"Seneca County, New York","3",0.469,16970,58,"New York","no",0.0905310300703774,"Trump",0.0349,0.0042,0.0083,0.0476,2e-04,0.8901,18.676973493,4.2381528528,4.5509646229,23.69546927,29.9,201.35665834,4.1128569697,15.722713864,3.8247956573,56,5.5627987831,19.4,77.902720596,51064,0.238,0.887,0.8,2.32
"Steuben County, New York","3",0.502,51923,154,"New York","no",0.296331586469747,"Trump",0.0165,0.0011,0.0153,0.0157,0,0.9357,17.419975259,4.1478829204,4.6657620331,20.81819654,26.1,177.54082927,4.4041450777,20.621279047,4.5813734713,50,5.2202926727,21.8,78.761788755,53167,0.236,0.905,0.782,2.37
"Suffolk County, New York","3",0.627,1020645,3498,"New York","yes",0.000300696916949283,"Trump",0.1931,0.0016,0.0388,0.0726,2e-04,0.6757,14.194481821,3.5428565248,3.997320131,14.831849246,21.7,124.03918075,4.3418242544,18.456103318,3.7067925309,55,4.9021541715,9.3,80.901138913,105241,0.363,0.906,0.884,2.97
"Sullivan County, New York","3",0.5,41473,79,"New York","no",0.0916673882298612,"Trump",0.1599,0.0023,0.0163,0.074,0,0.7151,19.774304328,4.5966618187,4.360244151,23.991878712,29.3,261.17121667,4.9102102753,22.655259823,3.9505633918,49,6.1663876063,26.2,78.267982676,58851,0.248,0.867,0.802,2.53
